bill_id,title,ministry,Member,introduction_date,Debate/Date Passed in LS,Debate/Date Passed in RS,status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date,year,is_amendment,is_appropriation,is_finance
19,"The Appropriation (Railways) Bill, 2006                                                                                                                                                                 ",RAILWAYS,,2006-03-03,3 Mar 2006,9 Mar 2006,Assented,12  of 2006,22/03/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2006-19-gaz.pdf?source=loksabhadocs,,2006,0,1,0
20,"The  Appropriation (Railways) No.2 Bill, 2006                                                                                                                                                           ",RAILWAYS,,2006-03-03,3 Mar 2006,9 Mar 2006,Assented,13  of 2006,22/03/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2006-20-gaz.pdf?source=loksabhadocs,,2006,0,1,0
15,"The Constitution (One Hundred and Fifth Amendment) Bill, 2006                                                                                                                                           ",HOME AFFAIRS,,2006-03-01,22 May 2006,22 May 2006,Assented,,12/06/2006 ,,,2006,1,0,0
16,"The Finance Bill, 2006                                                                                                                                                                                  ",Unknown,,2006-02-28,20 Mar 2006,21 Mar 2006,Assented,21  of 2006,18/04/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2006-16-gaz.pdf?source=loksabhadocs,,2006,0,0,1
165,"The Electricity (Amendment) Bill, 2005.                                                                                                                                                                 ",POWER,,2005-12-23,,,Assented,,,,,2005,1,0,0
160,"The Contstituion (One Hundred and Fourth Amendment) Bill, 2005",HUMAN RESOURCE  DEVELOPMENT,,2005-12-20,21 Dec 2005,22 Dec 2005,Assented,,20/01/2006 ,,,2005,1,0,0
162,"The Securities Contracts (Railways) Amendment Bill, 2005.                                                                                                                                               ",FINANCE,,2005-12-16,,,Withdrawn,,,,,2005,1,0,0
161,"The Central Sales Tax (Amendment) Bill, 2005.                                                                                                                                                           ",Unknown,,2005-12-15,20 Dec 2005,20 Dec 2005,Passed,,,,,2005,1,0,0
163,"The Appropriation (No.5) Bill, 2005.                                                                                                                                                                    ",Unknown,,2005-12-15,15 Dec 2005,20 Dec 2005,Assented,56  of 2005,28/12/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-163-gaz.pdf?source=loksabhadocs,,2005,0,1,0
158,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Bill, 2006",TRIBAL AFFAIRS,,2005-12-13,15 Dec 2006,18 Dec 2006,Assented,2  of 2007,29/12/2007 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-158-gaz.pdf?source=loksabhadocs,,2005,0,0,0
