url,title,ministry,status,house,introduction_date,passed_ls,passed_rs,assent_date,type,short_title,bill_id,total_actions
https://prsindia.org/billtrack/the-companies-amendment-ordinance-2018,"The Companies (Amendment) Ordinance, 2018",Law and Justice,Withdrawn,Unknown,,,,,Government,The Companies (Amendment) Ordinance,1505,5
https://prsindia.org/billtrack/draft-labour-code-on-social-security-welfare-2017,"Draft Labour Code on Social Security & Welfare, 2017",Human Resource Development,Unknown,Unknown,,,,,Government,Draft Labour Code on Social Security & Welfare,1506,5
https://prsindia.org/billtrack/the-central-institute-of-english-and-foreign-language-university-bill-2006,"The Central Institute of English and Foreign Language University Bill, 2006",,Passed,Lok Sabha,,,,,Government,The Central Institute of English and Foreign Language University Bill,1507,5
https://prsindia.org/billtrack/draft-model-act-and-rules-on-conclusive-land-titling,Draft Model Act and Rules on Conclusive Land Titling,,Unknown,Unknown,,,,,Government,Draft Model Act and Rules on Conclusive Land Titling,1508,5
https://prsindia.org/billtrack/the-national-highways-authority-of-india-amendment-bill-2008,"The National Highways Authority of India (Amendment) Bill, 2008",,Introduced,Lok Sabha,,,,,Government,The National Highways Authority of India (Amendment) Bill,1509,5
https://prsindia.org/billtrack/draft-gst-compensation-to-the-states-for-loss-of-revenue-bill-2016,"Draft GST (Compensation to the States for Loss of Revenue) Bill, 2016",,Unknown,Unknown,,,,,Government,Draft GST (Compensation to the States for Loss of Revenue) Bill,1510,5
https://prsindia.org/billtrack/the-constitution-one-hundred-and-twenty-sixth-amendment-bill-2019,"The Constitution (126th Amendment) Bill, 2019",Law and Justice,Passed,Lok Sabha,,,,,Government,The Constitution (126th Amendment) Bill,1511,5
https://prsindia.org/billtrack/the-coastal-shipping-bill-2024,"The Coastal Shipping Bill, 2024",Shipping,Passed,Lok Sabha,,,,,Government,The Coastal Shipping Bill,1512,5
https://prsindia.org/billtrack/the-bharatiya-nyaya-sanhita-2023,"The Bharatiya Nyaya Sanhita, 2023",Home Affairs,Withdrawn,Lok Sabha,,,,,Government,The Bharatiya Nyaya Sanhita,1513,5
https://prsindia.org/billtrack/the-textile-undertakings-nationalisation-laws-amendment-and-validation-bill-2014,"The Textile Undertakings (Nationalisation) Laws (Amendment and Validation) Bill, 2014",Textile,Passed,Lok Sabha,,,,,Government,The Textile Undertakings (Nationalisation) Laws (Amendment and Validation) Bill,1514,5
https://prsindia.org/billtrack/the-payment-of-wages-amendment-bill-2016,"The Payment of Wages (Amendment) Bill, 2016",Labour,Withdrawn,Lok Sabha,,,,,Government,The Payment of Wages (Amendment) Bill,1515,5
https://prsindia.org/billtrack/the-income-tax-bill-2025,"The Income-tax Bill, 2025",Finance,Withdrawn,Lok Sabha,,,,,Government,The Income-tax Bill,1516,5
https://prsindia.org/billtrack/the-motor-vehicles-amendment-bill-2019,"The Motor Vehicles (Amendment) Bill, 2019",Road Transport and Highways,Passed,Lok Sabha,,,,,Government,The Motor Vehicles (Amendment) Bill,1517,5
https://prsindia.org/billtrack/the-scheduled-tribes-and-other-traditional-forest-dwellers-recognition-of-forest-rights-amendment-rules-2012,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Rules, 2012",Tribal Affairs,Unknown,Unknown,,,,,Government,The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Rules,1518,5
https://prsindia.org/billtrack/the-prevention-of-torture-bill-2010,"The Prevention of Torture Bill, 2010",Home Affairs,Passed,Lok Sabha,,,,,Government,The Prevention of Torture Bill,1519,5
https://prsindia.org/billtrack/the-south-asian-university-bill-2008,"The South Asian University Bill, 2008",,Passed,Lok Sabha,,,,,Government,The South Asian University Bill,1520,5
https://prsindia.org/billtrack/the-securities-and-exchange-board-of-india-amendment-bill-2013-670,"The Securities and Exchange Board of India (Amendment) Bill, 2013",Finance,Passed,Lok Sabha,,,,,Government,The Securities and Exchange Board of India (Amendment) Bill,1521,5
https://prsindia.org/billtrack/the-constitution-111th-amendment-bill-2009,"The Constitution (111th Amendment) Bill, 2009",Agriculture,Passed,Lok Sabha,,,,,Government,The Constitution (111th Amendment) Bill,1522,5
https://prsindia.org/billtrack/the-chief-election-commissioner-and-other-election-commissioners-appointment-conditions-of-service-and-term-of-office-bill-2023,"The Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term of Office) Bill, 2023",Law and Justice,Passed,Lok Sabha,,,,,Government,The Chief Election Commissioner and Other Election Commissioners (Appointment,1523,5
https://prsindia.org/billtrack/the-registration-amendment-bill-2013,"The Registration (Amendment) Bill, 2013",Rural Development,Introduced,Rajya Sabha,,,,,Government,The Registration (Amendment) Bill,1524,5
https://prsindia.org/billtrack/the-securities-markets-code-2025,"The Securities Markets Code, 2025",Finance,Introduced,Lok Sabha,,,,,Government,The Securities Markets Code,1525,5
https://prsindia.org/billtrack/the-new-delhi-municipal-council-amendment-bill-2010,"The New Delhi Municipal Council (Amendment) Bill, 2010",Home Affairs,Passed,Lok Sabha,,,,,Government,The New Delhi Municipal Council (Amendment) Bill,1526,5
https://prsindia.org/billtrack/the-national-judicial-appointments-commission-bill-2014,"The National Judicial Appointments Commission Bill, 2014",Law and Justice,Passed,Lok Sabha,,,,,Government,The National Judicial Appointments Commission Bill,1527,5
https://prsindia.org/billtrack/draft-labour-code-on-social-security-2018,"Draft Labour Code on Social Security, 2018",Labour and Employment,Unknown,Unknown,,,,,Government,Draft Labour Code on Social Security,1528,5
https://prsindia.org/billtrack/the-epidemic-diseases-amendment-ordinance-2020,"The Epidemic Diseases (Amendment) Ordinance, 2020",Health,Unknown,Unknown,,,,,Government,The Epidemic Diseases (Amendment) Ordinance,1529,5
https://prsindia.org/billtrack/the-industrial-relations-code-2019,"The Industrial Relations Code, 2019",Labour and Employment,Withdrawn,Lok Sabha,,,,,Government,The Industrial Relations Code,1530,5
https://prsindia.org/billtrack/the-coastal-aquaculture-authority-amendment-bill-2023,"The Coastal Aquaculture Authority (Amendment) Bill, 2023","Fisheries, Animal Husbandry and Dairying",Passed,Lok Sabha,,,,,Government,The Coastal Aquaculture Authority (Amendment) Bill,1531,5
https://prsindia.org/billtrack/the-inter-state-river-water-disputes-amendment-bill-2017,"The Inter-State River Water Disputes (Amendment) Bill, 2017",Water Resources,Introduced,Lok Sabha,,,,,Government,The Inter-State River Water Disputes (Amendment) Bill,1532,5
https://prsindia.org/billtrack/the-national-green-tribunal-bill-2009,"The National Green Tribunal Bill, 2009",Environment and Forests,Passed,Lok Sabha,,,,,Government,The National Green Tribunal Bill,1533,5
